timestamp,pm1,pm2_5,pm4,pm10
2025-09-01T10:11:49,nan,nan,nan,nan
2025-09-01T10:11:55,nan,nan,nan,nan
2025-09-01T10:12:01,nan,nan,nan,nan
2025-09-01T10:12:42,1.000,2.000,2.000,2.000
2025-09-01T10:12:49,1.000,1.000,1.000,1.000
2025-09-01T10:12:56,1.000,1.000,1.000,1.000
2025-09-01T10:13:03,1.000,1.000,1.000,1.000
2025-09-01T10:13:10,1.000,1.000,1.000,1.000
2025-09-01T10:13:17,1.000,1.000,2.000,2.000
2025-09-01T10:13:24,2.000,2.000,2.000,2.000
2025-09-01T10:13:31,1.000,1.000,1.000,1.000
2025-09-01T10:13:38,1.000,1.000,1.000,1.000
2025-09-01T10:13:45,1.000,1.000,1.000,1.000
2025-09-01T10:13:52,1.000,1.000,1.000,1.000
2025-09-01T10:14:00,1.000,1.000,1.000,1.000
2025-09-01T10:14:07,1.000,1.000,1.000,1.000
2025-09-01T10:14:14,1.000,1.000,1.000,1.000
2025-09-01T10:14:21,1.000,1.000,1.000,1.000
2025-09-01T10:14:28,1.000,1.000,1.000,1.000
2025-09-01T10:14:35,1.000,1.000,1.000,1.000
2025-09-01T10:14:42,1.000,1.000,1.000,1.000
2025-09-01T10:18:10,16085.000,1091.000,16097.000,16845.000
2025-09-01T10:18:48,nan,nan,nan,nan
2025-09-01T10:18:54,nan,nan,nan,nan
2025-09-01T10:19:00,nan,nan,nan,nan
2025-09-01T10:19:06,nan,nan,nan,nan
2025-09-01T10:19:12,nan,nan,nan,nan
2025-09-01T10:19:18,nan,nan,nan,nan
2025-09-01T10:19:29,nan,nan,nan,nan
2025-09-01T10:19:35,nan,nan,nan,nan
2025-09-01T10:19:41,nan,nan,nan,nan
2025-09-01T10:19:47,nan,nan,nan,nan
2025-09-01T10:19:53,nan,nan,nan,nan
2025-09-01T10:19:59,nan,nan,nan,nan
2025-09-01T10:20:05,nan,nan,nan,nan
2025-09-01T10:20:11,nan,nan,nan,nan
2025-09-01T10:20:17,nan,nan,nan,nan
2025-09-01T10:21:42,nan,nan,nan,nan
2025-09-01T10:21:48,nan,nan,nan,nan
2025-09-01T10:21:54,nan,nan,nan,nan
2025-09-01T10:22:00,nan,nan,nan,nan
2025-09-01T10:22:06,nan,nan,nan,nan
2025-09-01T10:22:12,nan,nan,nan,nan
2025-09-01T10:22:18,nan,nan,nan,nan
2025-09-01T10:22:25,nan,nan,nan,nan
2025-09-01T10:22:31,nan,nan,nan,nan
2025-09-01T10:22:37,nan,nan,nan,nan
2025-09-01T10:37:36,0.533,0.563,0.563,0.563
2025-09-01T10:37:42,0.533,0.564,0.564,0.564
2025-09-01T10:37:48,0.571,0.603,0.603,0.603
2025-09-01T10:37:54,0.624,0.659,0.659,0.659
2025-09-01T10:38:00,0.656,0.694,0.694,0.694
2025-09-01T10:38:06,0.721,0.762,0.762,0.762
2025-09-01T10:38:12,0.720,0.761,0.761,0.761
2025-09-01T10:52:00,2.000,3.000,3.000,4.000
2025-09-01T10:52:07,1.000,2.000,2.000,3.000
2025-09-01T10:52:15,1.000,2.000,2.000,2.000
2025-09-01T10:52:22,1.000,1.000,1.000,1.000
2025-09-01T10:52:29,1.000,1.000,1.000,1.000
2025-09-01T10:52:36,1.000,1.000,1.000,1.000
2025-09-01T10:52:43,1.000,1.000,1.000,1.000
2025-09-01T10:52:50,1.000,1.000,1.000,1.000
2025-09-01T10:52:57,0.000,1.000,1.000,1.000
2025-09-01T10:53:04,0.000,1.000,1.000,1.000
2025-09-01T10:53:11,1.000,1.000,1.000,1.000
2025-09-01T10:53:18,1.000,1.000,1.000,1.000
2025-09-01T10:53:25,2.000,2.000,2.000,2.000
2025-09-01T10:53:32,1.000,2.000,2.000,2.000
2025-09-01T10:53:39,1.000,1.000,1.000,1.000
2025-09-01T10:53:46,1.000,1.000,1.000,1.000
2025-09-01T10:53:53,1.000,1.000,1.000,1.000
2025-09-01T10:54:00,1.000,1.000,1.000,1.000
2025-09-01T10:54:07,1.000,1.000,1.000,1.000
2025-09-01T10:54:14,1.000,1.000,1.000,1.000
2025-09-01T10:54:21,1.000,1.000,1.000,1.000
2025-09-01T10:54:28,1.000,1.000,1.000,1.000
2025-09-01T10:56:32,1.000,1.000,1.000,1.000
2025-09-01T10:56:39,1.000,1.000,1.000,1.000
2025-09-01T10:56:46,1.000,1.000,1.000,1.000
2025-09-01T10:56:53,1.000,1.000,1.000,1.000
2025-09-01T10:57:00,1.000,1.000,1.000,1.000
2025-09-01T10:57:07,1.000,1.000,1.000,1.000
2025-09-01T10:57:15,1.000,1.000,1.000,1.000
2025-09-01T10:57:22,1.000,1.000,1.000,1.000
2025-09-01T10:57:29,1.000,1.000,1.000,1.000
2025-09-01T10:57:36,1.000,1.000,1.000,1.000
2025-09-01T10:59:35,2.000,2.000,3.000,3.000
2025-09-01T10:59:42,2.000,2.000,2.000,2.000
2025-09-01T10:59:50,1.000,1.000,1.000,1.000
2025-09-01T10:59:57,1.000,1.000,1.000,1.000
2025-09-01T11:00:07,16338.000,36481.000,16389.000,25123.000
2025-09-01T11:00:14,16296.000,43220.000,16330.000,1116.000
2025-09-01T11:00:22,16271.000,61179.000,16295.000,62454.000
2025-09-01T11:00:29,16245.000,56763.000,16267.000,7854.000
2025-09-01T11:00:36,16210.000,33547.000,16238.000,4945.000
2025-09-01T11:00:43,16203.000,30623.000,16228.000,65441.000
2025-09-01T11:00:50,16180.000,42570.000,16201.000,43592.000
